Date,Portfolio_Value,Bank,Equity
2016-09-27,37535.03,0.0,37535.03
2016-09-28,37673.64,0.0,37673.64
2016-09-29,37006.89,0.0,37006.89
2016-09-30,36970.92,0.0,36970.92
2016-10-03,38488.76,0.0,38488.76
2016-10-04,39074.93,0.0,39074.93
2016-10-05,38955.72,0.0,38955.72
2016-10-06,38930.22,0.0,38930.22
2016-10-07,39105.6,0.0,39105.6
2016-10-10,39163.3,0.0,39163.3
2016-10-13,38865.9,0.0,38865.9
2016-10-14,40369.56,0.0,40369.56
2016-10-17,40522.18,0.0,40522.18
2016-10-18,40541.24,0.0,40541.24
2016-10-19,40532.43,0.0,40532.43
2016-10-20,40814.62,0.0,40814.62
2016-10-21,40746.05,0.0,40746.05
2016-10-24,41198.66,0.0,41198.66
2016-10-25,41176.93,0.0,41176.93
2016-10-26,40671.15,0.0,40671.15
2016-10-27,40171.5,0.0,40171.5
2016-10-28,40903.8,0.0,40903.8
2016-11-01,41208.6,0.0,41208.6
2016-11-02,40594.18,0.0,40594.18
2016-11-03,40143.57,0.0,40143.57
2016-11-04,38668.14,0.0,38668.14
2016-11-07,38633.58,0.0,38633.58
2016-11-08,38350.16,0.0,38350.16
2016-11-09,37522.56,0.0,37522.56
2016-11-10,38130.75,0.0,38130.75
2016-11-11,35578.72,0.0,35578.72
2016-11-15,29643.33,0.0,29643.33
2016-11-16,32001.78,0.0,32001.78
2016-11-17,31794.78,0.0,31794.78
2016-11-18,34216.75,0.0,34216.75
2016-11-21,34436.14,0.0,34436.14
2016-11-22,34728.85,0.0,34728.85
2016-11-23,34613.29,0.0,34613.29
2016-11-24,34359.79,0.0,34359.79
2016-11-25,34826.63,0.0,34826.63
2016-11-28,34863.6,0.0,34863.6
2016-11-29,37482.93,0.0,37482.93
2016-11-30,38132.31,0.0,38132.31
2016-12-01,37985.38,0.0,37985.38
2016-12-02,36896.07,0.0,36896.07
2016-12-05,37097.29,0.0,37097.29
2016-12-06,37570.18,0.0,37570.18
2016-12-07,37531.7,0.0,37531.7
2016-12-08,38011.98,0.0,38011.98
2016-12-09,38038.73,0.0,38038.73
2016-12-12,37153.66,0.0,37153.66
2016-12-13,36561.36,0.0,36561.36
2016-12-14,36267.48,0.0,36267.48
2016-12-15,37331.97,0.0,37331.97
2016-12-16,38015.94,0.0,38015.94
2016-12-19,38070.79,0.0,38070.79
2016-12-20,37537.56,0.0,37537.56
2016-12-21,37055.36,0.0,37055.36
2016-12-22,36551.21,0.0,36551.21
2016-12-23,36080.72,0.0,36080.72
2016-12-26,33312.3,0.0,33312.3
2016-12-27,33601.17,0.0,33601.17
2016-12-28,34162.55,0.0,34162.55
2016-12-29,33767.81,0.0,33767.81
2016-12-30,35710.75,0.0,35710.75
2017-01-02,37031.53,0.0,37031.53
2017-01-03,37132.21,0.0,37132.21
2017-01-04,37311.94,0.0,37311.94
2017-01-05,37647.68,0.0,37647.68
2017-01-06,38110.65,0.0,38110.65
2017-01-09,38314.52,0.0,38314.52
2017-01-10,37855.69,0.0,37855.69
2017-01-11,37833.94,0.0,37833.94
2017-01-12,37823.18,0.0,37823.18
2017-01-13,37473.68,0.0,37473.68
2017-01-16,38477.42,0.0,38477.42
2017-01-17,38150.37,0.0,38150.37
2017-01-18,38136.66,0.0,38136.66
2017-01-19,37752.36,0.0,37752.36
2017-01-20,37692.84,0.0,37692.84
2017-01-23,38048.84,0.0,38048.84
2017-01-24,38427.28,0.0,38427.28
2017-01-25,38492.59,0.0,38492.59
2017-01-27,39011.89,0.0,39011.89
2017-01-30,40199.05,0.0,40199.05
2017-01-31,40710.62,0.0,40710.62
2017-02-01,41545.18,0.0,41545.18
2017-02-02,43471.38,0.0,43471.38
2017-02-03,43532.8,0.0,43532.8
2017-02-06,44473.19,0.0,44473.19
2017-02-07,44467.95,0.0,44467.95
2017-02-08,43872.91,0.0,43872.91
2017-02-09,43453.84,0.0,43453.84
2017-02-10,43066.29,0.0,43066.29
2017-02-13,42098.33,0.0,42098.33
2017-02-14,41865.84,0.0,41865.84
2017-02-15,43209.23,0.0,43209.23
2017-02-16,43599.09,0.0,43599.09
2017-02-17,42889.68,0.0,42889.68
2017-02-20,42996.4,0.0,42996.4
2017-02-21,43224.0,0.0,43224.0
2017-02-22,43715.64,0.0,43715.64
2017-02-23,43454.22,0.0,43454.22
2017-02-27,42365.24,0.0,42365.24
2017-02-28,42369.32,0.0,42369.32
2017-03-01,43951.35,0.0,43951.35
2017-03-02,43427.21,0.0,43427.21
2017-03-03,43246.79,0.0,43246.79
2017-03-06,42198.73,0.0,42198.73
2017-03-07,43409.5,0.0,43409.5
2017-03-08,42973.53,0.0,42973.53
2017-03-09,43126.77,0.0,43126.77
2017-03-10,43768.84,0.0,43768.84
2017-03-14,45891.97,0.0,45891.97
2017-03-15,46189.87,0.0,46189.87
2017-03-16,46481.29,0.0,46481.29
2017-03-17,46160.99,0.0,46160.99
2017-03-20,46093.83,0.0,46093.83
2017-03-21,46165.22,0.0,46165.22
2017-03-22,45886.78,0.0,45886.78
2017-03-23,45654.65,0.0,45654.65
2017-03-24,45847.84,0.0,45847.84
2017-03-27,45921.67,0.0,45921.67
2017-03-28,45929.58,0.0,45929.58
2017-03-29,45866.86,0.0,45866.86
2017-03-30,46260.05,0.0,46260.05
2017-03-31,46929.52,0.0,46929.52
2017-04-03,51060.32,0.0,51060.32
2017-04-05,51445.29,0.0,51445.29
2017-04-06,51742.52,0.0,51742.52
2017-04-07,51474.3,0.0,51474.3
2017-04-10,51579.14,0.0,51579.14
2017-04-11,52294.33,0.0,52294.33
2017-04-12,56248.44,0.0,56248.44
2017-04-13,56605.15,0.0,56605.15
2017-04-17,55072.92,0.0,55072.92
2017-04-18,53712.92,0.0,53712.92
2017-04-19,54601.04,0.0,54601.04
2017-04-20,55264.04,0.0,55264.04
2017-04-21,55959.91,0.0,55959.91
2017-04-24,56548.88,0.0,56548.88
2017-04-25,56580.98,0.0,56580.98
2017-04-26,55769.09,0.0,55769.09
2017-04-27,56724.19,0.0,56724.19
2017-04-28,57103.38,0.0,57103.38
2017-05-02,63294.65,0.0,63294.65
2017-05-03,62393.12,0.0,62393.12
2017-05-04,63066.31,0.0,63066.31
2017-05-05,62803.82,0.0,62803.82
2017-05-08,63024.87,0.0,63024.87
2017-05-09,61942.32,0.0,61942.32
2017-05-10,62156.44,0.0,62156.44
2017-05-11,60820.48,0.0,60820.48
2017-05-12,59269.59,0.0,59269.59
2017-05-15,61639.24,0.0,61639.24
2017-05-16,61273.19,0.0,61273.19
2017-05-17,61176.23,0.0,61176.23
2017-05-18,59325.97,0.0,59325.97
2017-05-19,58197.03,0.0,58197.03
2017-05-22,56262.79,0.0,56262.79
2017-05-23,57290.33,0.0,57290.33
2017-05-24,56882.71,0.0,56882.71
2017-05-25,58228.21,0.0,58228.21
2017-05-26,58428.73,0.0,58428.73
2017-05-29,58028.22,0.0,58028.22
2017-05-30,60168.12,0.0,60168.12
2017-05-31,59838.31,0.0,59838.31
2017-06-01,60127.72,0.0,60127.72
2017-06-02,59820.01,0.0,59820.01
2017-06-05,60984.3,0.0,60984.3
2017-06-06,60672.83,0.0,60672.83
2017-06-07,63506.6,0.0,63506.6
2017-06-08,63355.31,0.0,63355.31
2017-06-09,65196.41,0.0,65196.41
2017-06-12,65896.47,0.0,65896.47
2017-06-13,66447.36,0.0,66447.36
2017-06-14,66638.28,0.0,66638.28
2017-06-15,67769.27,0.0,67769.27
2017-06-16,68115.35,0.0,68115.35
2017-06-19,68001.8,0.0,68001.8
2017-06-20,69249.88,0.0,69249.88
2017-06-21,70418.04,0.0,70418.04
2017-06-22,70304.74,0.0,70304.74
2017-06-23,68862.42,0.0,68862.42
2017-06-27,66450.08,0.0,66450.08
2017-06-28,67314.25,0.0,67314.25
2017-06-29,69003.5,0.0,69003.5
2017-06-30,69823.03,0.0,69823.03
2017-07-03,69761.64,0.0,69761.64
2017-07-04,69428.11,0.0,69428.11
2017-07-05,70032.59,0.0,70032.59
2017-07-06,69901.73,0.0,69901.73
2017-07-07,70500.71,0.0,70500.71
2017-07-10,70346.88,0.0,70346.88
2017-07-11,69687.81,0.0,69687.81
2017-07-12,69536.93,0.0,69536.93
2017-07-13,69671.17,0.0,69671.17
2017-07-14,69607.61,0.0,69607.61
2017-07-17,69413.18,0.0,69413.18
2017-07-18,68682.01,0.0,68682.01
2017-07-19,69118.27,0.0,69118.27
2017-07-20,69817.23,0.0,69817.23
2017-07-21,68348.87,0.0,68348.87
2017-07-24,66554.62,0.0,66554.62
2017-07-25,67153.12,0.0,67153.12
2017-07-26,66440.06,0.0,66440.06
2017-07-27,67708.09,0.0,67708.09
2017-07-28,67515.94,0.0,67515.94
2017-07-31,67097.8,0.0,67097.8
2017-08-01,67381.1,0.0,67381.1
2017-08-02,67049.86,0.0,67049.86
2017-08-03,65356.18,0.0,65356.18
2017-08-04,65135.14,0.0,65135.14
2017-08-07,64546.66,0.0,64546.66
2017-08-08,64068.72,0.0,64068.72
2017-08-09,62678.65,0.0,62678.65
2017-08-10,61917.33,0.0,61917.33
2017-08-11,62901.72,0.0,62901.72
2017-08-14,63918.71,0.0,63918.71
2017-08-16,64751.75,0.0,64751.75
2017-08-17,64557.63,0.0,64557.63
2017-08-18,63311.88,0.0,63311.88
2017-08-21,61161.43,0.0,61161.43
2017-08-22,59356.88,0.0,59356.88
2017-08-23,61107.3,0.0,61107.3
2017-08-24,60801.36,0.0,60801.36
2017-08-28,61142.06,0.0,61142.06
2017-08-29,59380.07,0.0,59380.07
2017-08-30,61572.91,0.0,61572.91
2017-08-31,62936.64,0.0,62936.64
2017-09-01,63223.43,0.0,63223.43
2017-09-04,62021.19,0.0,62021.19
2017-09-05,62985.83,0.0,62985.83
2017-09-06,63541.26,0.0,63541.26
2017-09-07,63613.49,0.0,63613.49
2017-09-08,62987.53,0.0,62987.53
2017-09-11,62652.34,0.0,62652.34
2017-09-12,62718.72,0.0,62718.72
2017-09-13,61937.05,0.0,61937.05
2017-09-14,61902.49,0.0,61902.49
2017-09-15,61765.76,0.0,61765.76
2017-09-18,62415.37,0.0,62415.37
2017-09-19,63644.66,0.0,63644.66
2017-09-20,62589.52,0.0,62589.52
2017-09-21,61852.07,0.0,61852.07
2017-09-22,58894.82,0.0,58894.82
2017-09-25,57347.93,0.0,57347.93
2017-09-26,58809.92,0.0,58809.92
2017-09-27,57581.64,0.0,57581.64
2017-09-28,58305.64,0.0,58305.64
2017-09-29,58763.76,0.0,58763.76
2017-10-03,58592.68,0.0,58592.68
2017-10-04,58342.89,0.0,58342.89
2017-10-05,58243.46,0.0,58243.46
2017-10-06,58937.94,0.0,58937.94
2017-10-09,59373.52,0.0,59373.52
2017-10-10,58531.97,0.0,58531.97
2017-10-11,57034.38,0.0,57034.38
2017-10-12,58580.66,0.0,58580.66
2017-10-13,61827.98,0.0,61827.98
2017-10-16,60888.83,0.0,60888.83
2017-10-17,61073.23,0.0,61073.23
2017-10-18,59956.65,0.0,59956.65
2017-10-19,59568.97,0.0,59568.97
2017-10-23,59598.64,0.0,59598.64
2017-10-24,59715.56,0.0,59715.56
2017-10-25,56013.41,0.0,56013.41
2017-10-26,55638.63,0.0,55638.63
2017-10-27,55369.44,0.0,55369.44
2017-10-30,54741.57,0.0,54741.57
2017-10-31,53874.9,0.0,53874.9
2017-11-01,52834.15,0.0,52834.15
2017-11-02,52911.37,0.0,52911.37
2017-11-03,52255.54,0.0,52255.54
2017-11-06,51023.81,0.0,51023.81
2017-11-07,50933.08,0.0,50933.08
2017-11-08,50667.94,0.0,50667.94
2017-11-09,51340.93,0.0,51340.93
2017-11-10,51563.55,0.0,51563.55
2017-11-13,50517.33,0.0,50517.33
2017-11-14,50398.9,0.0,50398.9
2017-11-15,48849.57,0.0,48849.57
2017-11-16,50224.3,0.0,50224.3
2017-11-17,53056.74,0.0,53056.74
2017-11-20,52427.64,0.0,52427.64
2017-11-21,51375.38,0.0,51375.38
2017-11-22,51617.22,0.0,51617.22
2017-11-23,51173.81,0.0,51173.81
2017-11-24,50953.87,0.0,50953.87
2017-11-27,52591.9,0.0,52591.9
2017-11-28,53632.76,0.0,53632.76
2017-11-29,54287.61,0.0,54287.61
2017-11-30,53585.62,0.0,53585.62
2017-12-01,52036.62,0.0,52036.62
2017-12-04,51159.19,0.0,51159.19
2017-12-05,51653.14,0.0,51653.14
2017-12-06,51057.82,0.0,51057.82
2017-12-07,53887.95,0.0,53887.95
2017-12-08,53514.97,0.0,53514.97
2017-12-11,53864.81,0.0,53864.81
2017-12-12,51943.62,0.0,51943.62
2017-12-13,51586.15,0.0,51586.15
2017-12-14,51267.45,0.0,51267.45
2017-12-15,52057.46,0.0,52057.46
2017-12-18,52725.01,0.0,52725.01
2017-12-19,53452.96,0.0,53452.96
2017-12-20,52900.44,0.0,52900.44
2017-12-21,56344.01,0.0,56344.01
2017-12-22,55065.55,0.0,55065.55
2017-12-26,55644.64,0.0,55644.64
2017-12-27,54433.18,0.0,54433.18
2017-12-28,52965.27,0.0,52965.27
2017-12-29,52833.34,0.0,52833.34
2018-01-01,52935.33,0.0,52935.33
2018-01-02,52525.53,0.0,52525.53
2018-01-03,52820.36,0.0,52820.36
2018-01-04,52217.4,0.0,52217.4
2018-01-05,52428.96,0.0,52428.96
2018-01-08,53323.83,0.0,53323.83
2018-01-09,53374.3,0.0,53374.3
2018-01-10,53394.66,0.0,53394.66
2018-01-11,53829.48,0.0,53829.48
2018-01-12,53548.46,0.0,53548.46
2018-01-15,53614.21,0.0,53614.21
2018-01-16,53005.56,0.0,53005.56
2018-01-17,52508.32,0.0,52508.32
2018-01-18,51563.89,0.0,51563.89
2018-01-19,52911.07,0.0,52911.07
2018-01-22,54009.16,0.0,54009.16
2018-01-23,51516.85,0.0,51516.85
2018-01-24,49847.95,0.0,49847.95
2018-01-25,49638.4,0.0,49638.4
2018-01-29,51507.96,0.0,51507.96
2018-01-30,50271.8,0.0,50271.8
2018-01-31,50150.07,0.0,50150.07
2018-02-01,59391.66,0.0,59391.66
2018-02-02,55335.29,0.0,55335.29
2018-02-05,55049.53,0.0,55049.53
2018-02-06,54009.93,0.0,54009.93
2018-02-07,54725.57,0.0,54725.57
2018-02-08,55733.84,0.0,55733.84
2018-02-09,55521.92,0.0,55521.92
2018-02-12,57065.57,0.0,57065.57
2018-02-14,59751.25,0.0,59751.25
2018-02-15,59660.1,0.0,59660.1
2018-02-16,59229.28,0.0,59229.28
2018-02-19,58607.47,0.0,58607.47
2018-02-20,57980.72,0.0,57980.72
2018-02-21,58718.24,0.0,58718.24
2018-02-22,58031.88,0.0,58031.88
2018-02-23,59259.87,0.0,59259.87
2018-02-26,58422.44,0.0,58422.44
2018-02-27,58388.28,0.0,58388.28
2018-02-28,58870.23,0.0,58870.23
2018-03-01,58696.3,0.0,58696.3
2018-03-05,58707.47,0.0,58707.47
2018-03-06,57566.68,0.0,57566.68
2018-03-07,56709.8,0.0,56709.8
2018-03-08,57505.57,0.0,57505.57
2018-03-09,57784.22,0.0,57784.22
2018-03-12,57639.02,0.0,57639.02
2018-03-13,58035.55,0.0,58035.55
2018-03-14,58215.44,0.0,58215.44
2018-03-15,58340.84,0.0,58340.84
2018-03-16,57425.96,0.0,57425.96
2018-03-19,57083.91,0.0,57083.91
2018-03-20,56437.49,0.0,56437.49
2018-03-21,57004.85,0.0,57004.85
2018-03-22,55437.05,0.0,55437.05
2018-03-23,54772.56,0.0,54772.56
2018-03-26,56246.77,0.0,56246.77
2018-03-27,58065.84,0.0,58065.84
2018-03-28,57256.18,0.0,57256.18
2018-04-02,62029.67,0.0,62029.67
2018-04-03,62437.13,0.0,62437.13
2018-04-04,62326.99,0.0,62326.99
2018-04-05,64158.61,0.0,64158.61
2018-04-06,64246.75,0.0,64246.75
2018-04-09,64108.14,0.0,64108.14
2018-04-10,64042.34,0.0,64042.34
2018-04-11,63905.78,0.0,63905.78
2018-04-12,64094.89,0.0,64094.89
2018-04-13,64261.8,0.0,64261.8
2018-04-16,64976.22,0.0,64976.22
2018-04-17,65316.69,0.0,65316.69
2018-04-18,64958.29,0.0,64958.29
2018-04-19,65157.66,0.0,65157.66
2018-04-20,64530.87,0.0,64530.87
2018-04-23,64755.13,0.0,64755.13
2018-04-24,64455.87,0.0,64455.87
2018-04-25,63625.63,0.0,63625.63
2018-04-26,63602.21,0.0,63602.21
2018-04-27,64456.19,0.0,64456.19
2018-04-30,65104.12,0.0,65104.12
2018-05-02,60068.57,0.0,60068.57
2018-05-03,59543.04,0.0,59543.04
2018-05-04,59908.74,0.0,59908.74
2018-05-07,59538.26,0.0,59538.26
2018-05-08,59436.17,0.0,59436.17
2018-05-09,59079.3,0.0,59079.3
2018-05-10,58482.47,0.0,58482.47
2018-05-11,59181.27,0.0,59181.27
2018-05-14,58737.49,0.0,58737.49
2018-05-15,58393.97,0.0,58393.97
2018-05-16,57872.54,0.0,57872.54
2018-05-17,58174.7,0.0,58174.7
2018-05-18,57949.55,0.0,57949.55
2018-05-21,56771.66,0.0,56771.66
2018-05-22,56663.85,0.0,56663.85
2018-05-23,55979.15,0.0,55979.15
2018-05-24,55635.93,0.0,55635.93
2018-05-25,56182.25,0.0,56182.25
2018-05-28,56843.82,0.0,56843.82
2018-05-29,56895.68,0.0,56895.68
2018-05-30,56452.73,0.0,56452.73
2018-05-31,56262.67,0.0,56262.67
2018-06-01,53749.71,0.0,53749.71
2018-06-04,53631.5,0.0,53631.5
2018-06-05,52909.68,0.0,52909.68
2018-06-06,53472.8,0.0,53472.8
2018-06-07,54324.36,0.0,54324.36
2018-06-08,54055.11,0.0,54055.11
2018-06-11,54273.32,0.0,54273.32
2018-06-12,54517.1,0.0,54517.1
2018-06-13,54456.73,0.0,54456.73
2018-06-14,54476.93,0.0,54476.93
2018-06-15,54943.98,0.0,54943.98
2018-06-18,54385.07,0.0,54385.07
2018-06-19,53821.89,0.0,53821.89
2018-06-20,53697.63,0.0,53697.63
2018-06-21,53232.79,0.0,53232.79
2018-06-22,53850.15,0.0,53850.15
2018-06-25,53249.09,0.0,53249.09
2018-06-26,52325.48,0.0,52325.48
2018-06-27,52481.5,0.0,52481.5
2018-06-28,51989.76,0.0,51989.76
2018-06-29,51679.63,0.0,51679.63
2018-07-02,51316.41,0.0,51316.41
2018-07-03,51770.63,0.0,51770.63
2018-07-04,52528.95,0.0,52528.95
2018-07-05,51511.01,0.0,51511.01
2018-07-06,51605.29,0.0,51605.29
2018-07-09,52127.38,0.0,52127.38
2018-07-10,52628.22,0.0,52628.22
2018-07-11,52751.77,0.0,52751.77
2018-07-12,53500.25,0.0,53500.25
2018-07-13,53463.76,0.0,53463.76
2018-07-16,52517.17,0.0,52517.17
2018-07-17,52562.07,0.0,52562.07
2018-07-18,52124.18,0.0,52124.18
2018-07-19,51788.85,0.0,51788.85
2018-07-20,52857.59,0.0,52857.59
2018-07-23,53342.03,0.0,53342.03
2018-07-24,52906.81,0.0,52906.81
2018-07-25,55640.18,0.0,55640.18
2018-07-26,54993.38,0.0,54993.38
2018-07-27,56393.85,0.0,56393.85
2018-07-30,56248.84,0.0,56248.84
2018-07-31,55855.41,0.0,55855.41
2018-08-01,56705.0,0.0,56705.0
2018-08-02,56383.15,0.0,56383.15
2018-08-03,56517.97,0.0,56517.97
2018-08-06,56634.29,0.0,56634.29
2018-08-07,57423.34,0.0,57423.34
2018-08-08,58363.96,0.0,58363.96
2018-08-09,58888.35,0.0,58888.35
2018-08-10,58545.47,0.0,58545.47
2018-08-13,57588.05,0.0,57588.05
2018-08-14,58068.93,0.0,58068.93
2018-08-16,57891.09,0.0,57891.09
2018-08-17,58243.65,0.0,58243.65
2018-08-20,58415.51,0.0,58415.51
2018-08-21,58924.57,0.0,58924.57
2018-08-23,59519.89,0.0,59519.89
2018-08-24,59617.03,0.0,59617.03
2018-08-27,60219.4,0.0,60219.4
2018-08-28,59521.81,0.0,59521.81
2018-08-29,60444.82,0.0,60444.82
2018-08-30,59943.6,0.0,59943.6
2018-08-31,60009.91,0.0,60009.91
2018-09-03,53671.48,0.0,53671.48
2018-09-04,53676.61,0.0,53676.61
2018-09-05,53084.08,0.0,53084.08
2018-09-06,53025.68,0.0,53025.68
2018-09-07,53582.19,0.0,53582.19
2018-09-10,51356.75,0.0,51356.75
2018-09-11,50949.95,0.0,50949.95
2018-09-12,50691.45,0.0,50691.45
2018-09-14,51978.35,0.0,51978.35
2018-09-17,51140.55,0.0,51140.55
2018-09-18,50425.17,0.0,50425.17
2018-09-19,49476.72,0.0,49476.72
2018-09-21,47682.66,0.0,47682.66
2018-09-24,45235.04,0.0,45235.04
2018-09-25,45685.28,0.0,45685.28
2018-09-26,45604.12,0.0,45604.12
2018-09-27,44173.12,0.0,44173.12
2018-09-28,43313.29,0.0,43313.29
2018-10-01,43511.09,0.0,43511.09
2018-10-03,44045.55,0.0,44045.55
2018-10-04,43281.19,0.0,43281.19
2018-10-05,41162.78,0.0,41162.78
2018-10-08,40536.02,0.0,40536.02
2018-10-09,41573.59,0.0,41573.59
2018-10-10,44363.72,0.0,44363.72
2018-10-11,42944.69,0.0,42944.69
2018-10-12,44850.09,0.0,44850.09
2018-10-15,45089.06,0.0,45089.06
2018-10-16,45309.77,0.0,45309.77
2018-10-17,42846.06,0.0,42846.06
2018-10-19,42264.4,0.0,42264.4
2018-10-22,41822.73,0.0,41822.73
2018-10-23,41323.68,0.0,41323.68
2018-10-24,44567.54,0.0,44567.54
2018-10-25,44960.71,0.0,44960.71
2018-10-26,44892.94,0.0,44892.94
2018-10-29,45721.79,0.0,45721.79
2018-10-30,45470.97,0.0,45470.97
2018-10-31,46208.01,0.0,46208.01
2018-11-01,48215.97,0.0,48215.97
2018-11-02,49230.0,0.0,49230.0
2018-11-05,49131.96,0.0,49131.96
2018-11-06,49350.53,0.0,49350.53
2018-11-07,49475.66,0.0,49475.66
2018-11-09,49448.65,0.0,49448.65
2018-11-12,49208.2,0.0,49208.2
2018-11-13,49256.64,0.0,49256.64
2018-11-14,50031.65,0.0,50031.65
2018-11-15,50019.53,0.0,50019.53
2018-11-16,50380.58,0.0,50380.58
2018-11-19,51261.77,0.0,51261.77
2018-11-20,51638.17,0.0,51638.17
2018-11-21,51963.77,0.0,51963.77
2018-11-22,51605.44,0.0,51605.44
2018-11-26,51527.74,0.0,51527.74
2018-11-27,52030.63,0.0,52030.63
2018-11-28,51624.99,0.0,51624.99
2018-11-29,51283.79,0.0,51283.79
2018-11-30,51386.48,0.0,51386.48
2018-12-03,50748.48,0.0,50748.48
2018-12-04,51097.01,0.0,51097.01
2018-12-05,50771.19,0.0,50771.19
2018-12-06,50197.41,0.0,50197.41
2018-12-07,50355.29,0.0,50355.29
2018-12-10,48719.04,0.0,48719.04
2018-12-11,49552.64,0.0,49552.64
2018-12-12,50874.36,0.0,50874.36
2018-12-13,50827.22,0.0,50827.22
2018-12-14,50863.86,0.0,50863.86
2018-12-17,50953.86,0.0,50953.86
2018-12-18,51123.84,0.0,51123.84
2018-12-19,51650.83,0.0,51650.83
2018-12-20,51332.72,0.0,51332.72
2018-12-21,50881.26,0.0,50881.26
2018-12-24,49975.68,0.0,49975.68
2018-12-26,49875.76,0.0,49875.76
2018-12-27,49914.03,0.0,49914.03
2018-12-28,50033.25,0.0,50033.25
2018-12-31,50547.23,0.0,50547.23
2019-01-01,50913.84,0.0,50913.84
2019-01-02,50819.59,0.0,50819.59
2019-01-03,50100.33,0.0,50100.33
2019-01-04,50813.61,0.0,50813.61
2019-01-07,50936.65,0.0,50936.65
2019-01-08,51738.1,0.0,51738.1
2019-01-09,51672.59,0.0,51672.59
2019-01-10,52533.76,0.0,52533.76
2019-01-11,52576.72,0.0,52576.72
2019-01-14,52838.26,0.0,52838.26
2019-01-15,53426.89,0.0,53426.89
2019-01-16,52878.44,0.0,52878.44
2019-01-17,52553.78,0.0,52553.78
2019-01-18,52958.64,0.0,52958.64
2019-01-21,53557.89,0.0,53557.89
