Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Jul 2014,ATUL.NS,200.0,268.11,1073.56,24.974
Aug 2014,ATUL.NS,486.29,637.88,2502.84,25.486
Sep 2014,BAJFINANCE.NS,976.37,1172.45,3655.46,32.074
Oct 2014,BAJFINANCE.NS,1351.1,1589.94,4750.55,33.469
Nov 2014,BAJFINANCE.NS,2197.79,2688.74,6239.79,43.09
Dec 2014,BAJFINANCE.NS,2920.95,3845.84,7688.3,50.022
Jan 2015,BAJFINANCE.NS,3712.06,5386.92,10272.98,52.438
Feb 2015,BAJFINANCE.NS,4112.96,5857.92,11688.47,50.117
Mar 2015,AARTIIND.NS,2409.76,3027.06,13228.76,22.882
Apr 2015,CANFINHOME.NS,3321.57,4109.21,14092.87,29.158
May 2015,CANFINHOME.NS,3996.67,4535.09,14665.41,30.924
Jun 2015,CANFINHOME.NS,4455.76,5655.06,17116.440000000002,33.039
Jul 2015,CANFINHOME.NS,6403.35,7957.5,20207.93,39.378
Aug 2015,BAJFINANCE.NS,6113.58,6092.65,17851.879999999997,34.129
Sep 2015,BAJFINANCE.NS,7732.35,7909.31,19797.350000000002,39.951
Oct 2015,BAJFINANCE.NS,8987.9,9333.51,20351.84,45.861
Nov 2015,HERITGFOOD.NS,6117.15,7423.96,22901.58,32.417
Dec 2015,CANFINHOME.NS,6436.67,7467.75,24856.25,30.044
Jan 2016,CANFINHOME.NS,7035.66,7915.5,24078.95,32.873
Feb 2016,CANFINHOME.NS,9042.04,8846.82,22919.72,38.599
Mar 2016,CANFINHOME.NS,11416.86,13580.26,28533.64,47.594
Apr 2016,CANFINHOME.NS,13117.91,15864.34,30254.21,52.437
May 2016,CANFINHOME.NS,13860.53,16683.22,30484.57,54.727
Jun 2016,CANFINHOME.NS,14339.99,17351.61,31260.72,55.506
Jul 2016,CANFINHOME.NS,14813.92,19498.9,34732.12,56.141
Aug 2016,CANFINHOME.NS,15275.98,22250.18,38227.51,58.205
Sep 2016,CANFINHOME.NS,17823.6,26991.31,40730.72,66.268
Oct 2016,CANFINHOME.NS,18651.42,31275.2,44227.15,70.715
Nov 2016,CANFINHOME.NS,19288.08,29524.93,40462.97,72.968
Dec 2016,CANFINHOME.NS,19604.89,27874.14,38161.85,73.042
Jan 2017,CANFINHOME.NS,19604.89,32795.28,43483.38,75.42
Feb 2017,CANFINHOME.NS,20496.34,35022.66,45371.22,77.191
Mar 2017,CANFINHOME.NS,21583.11,39553.26,49945.94,79.192
Apr 2017,CANFINHOME.NS,22185.83,49475.86,60527.29,81.741
May 2017,CANFINHOME.NS,23913.71,52953.32,63425.47,83.489
Jun 2017,CANFINHOME.NS,25118.21,64494.85,73457.84,87.798
Jul 2017,CANFINHOME.NS,25118.21,61628.8,71449.43000000001,86.255
Aug 2017,CANFINHOME.NS,25623.36,57641.52,66931.09,86.121
Sep 2017,CANFINHOME.NS,25623.36,53397.18,62761.65,85.079
Oct 2017,CANFINHOME.NS,25623.36,48291.91,57981.16,83.289
Nov 2017,CANFINHOME.NS,26478.04,49511.5,57491.37,86.12
Dec 2017,CANFINHOME.NS,26478.04,48415.92,56905.229999999996,85.082
Jan 2018,CANFINHOME.NS,26478.04,45989.23,53838.5,85.421
Feb 2018,SONATSOFTW.NS,12887.06,14127.9,63214.84,22.349
Mar 2018,SONATSOFTW.NS,12887.06,13762.83,61703.09,22.305
Apr 2018,CEATLTD.NS,17919.88,16124.22,70680.16,22.813
May 2018,SRF.NS,16070.72,16224.98,61346.94,26.448
Jun 2018,SRF.NS,16070.72,14246.61,54931.31,25.935
Jul 2018,FINCABLES.NS,12166.34,10414.61,57433.68,18.133
Aug 2018,BAJFINANCE.NS,14664.68,17994.74,60389.200000000004,29.798
Sep 2018,BAJFINANCE.NS,17762.09,16122.16,44305.03,36.389
Oct 2018,BAJFINANCE.NS,18206.88,18197.48,46485.03,39.147
Nov 2018,AARTIIND.NS,20870.82,23543.38,51476.9,45.736
Dec 2018,AARTIIND.NS,21913.44,24704.65,51096.89,48.349
Jan 2019,AARTIIND.NS,25491.48,31833.55,53408.35,59.604
Feb 2019,AARTIIND.NS,27143.68,28628.0,49327.45,58.037
Mar 2019,AARTIIND.NS,29171.67,34273.6,55158.81,62.136
Apr 2019,CHAMBLFERT.NS,14671.17,14135.53,55997.8,25.243
May 2019,DCMSHRIRAM.NS,15040.11,19458.48,72352.01,26.894
Jun 2019,SRF.NS,14341.72,16405.48,70976.89,23.114
Jul 2019,SRF.NS,16283.65,16304.66,61108.77,26.681
Aug 2019,CHAMBLFERT.NS,16424.18,15522.55,62916.659999999996,24.672
Sep 2019,KEI.NS,15580.84,19896.5,73847.36,26.943
Oct 2019,KEI.NS,15580.84,21619.22,74023.16,29.206
Nov 2019,BAJFINANCE.NS,20970.52,23943.44,72852.79,32.866
Dec 2019,BAJFINANCE.NS,25073.26,29284.97,72117.09,40.608
Jan 2020,BAJFINANCE.NS,27281.63,32470.54,81233.88,39.972
Feb 2020,BAJFINANCE.NS,28872.41,34843.54,79173.27,44.009
Mar 2020,BAJFINANCE.NS,29403.98,17558.26,45224.29,38.825
Apr 2020,BAJFINANCE.NS,30686.29,19708.27,51607.91,38.188
May 2020,BAJFINANCE.NS,30686.29,16609.75,49857.100000000006,33.315
Jun 2020,BAJFINANCE.NS,30686.29,24068.9,63002.37,38.203
Jul 2020,KEI.NS,15580.84,12875.6,71072.28,18.116
Aug 2020,AARTIIND.NS,14477.13,16017.81,80934.26,19.791
Sep 2020,ALKYLAMINE.NS,18460.38,23381.9,85216.70999999999,27.438
Oct 2020,AARTIIND.NS,25250.5,25686.83,82636.75,31.084
Nov 2020,ALKYLAMINE.NS,22130.03,33869.02,101003.75,33.532
Dec 2020,AARTIIND.NS,28361.34,35102.01,101289.88,34.655
Jan 2021,AARTIIND.NS,36462.43,40404.69,108469.63,37.25
Feb 2021,AARTIIND.NS,36462.43,43044.9,119350.89,36.066
Mar 2021,AARTIIND.NS,36462.43,45918.62,122355.81000000001,37.529
Apr 2021,AARTIIND.NS,36462.43,55935.71,150782.41,37.097
May 2021,AARTIIND.NS,47515.5,69747.15,160990.75,43.324
Jun 2021,AARTIIND.NS,47515.5,72495.63,170735.75,42.461
Jul 2021,AARTIIND.NS,62895.19,94546.19,193663.36,48.82
Aug 2021,AARTIIND.NS,62895.19,94879.95,194490.69999999998,48.784
Sep 2021,AARTIIND.NS,62895.19,94045.54,195456.0,48.116
Oct 2021,AARTIIND.NS,75185.56,110088.32,193887.54,56.779
Nov 2021,AARTIIND.NS,75185.56,107028.09,187087.03,57.208
Dec 2021,AARTIIND.NS,75185.56,114712.92,199374.62,57.536
Jan 2022,AARTIIND.NS,75652.19,113144.46,198255.07,57.07
Feb 2022,BAJFINANCE.NS,40768.35,41745.21,178544.86,23.381
Mar 2022,BAJFINANCE.NS,57861.07,61445.82,201027.47,30.566
Apr 2022,BAJFINANCE.NS,57861.07,56467.91,201240.62,28.06
May 2022,BAJFINANCE.NS,57861.07,51477.31,176589.8,29.151
Jun 2022,SRF.NS,48615.53,45370.69,144962.06,31.298
Jul 2022,SRF.NS,48615.53,48918.23,160747.18,30.432
Aug 2022,SRF.NS,48615.53,51236.92,180664.68,28.36
Sep 2022,SRF.NS,48615.53,50432.13,176308.36,28.605
Oct 2022,ANDHRSUGAR.NS,35037.57,34415.95,177380.64,19.402
Nov 2022,JWL.NS,45248.18,57957.79,183849.93,31.525
Dec 2022,JWL.NS,47896.66,64633.03,218299.45,29.608
Jan 2023,ACE.NS,61731.74,68279.06,233904.82,29.191
Feb 2023,TATACHEM.NS,79794.28,81569.05,229313.76,35.571
Mar 2023,JKPAPER.NS,109456.79,106513.03,234052.88,45.508
Apr 2023,ADANIPOWER.NS,59756.56,87475.68,273171.19,32.022
May 2023,SONATSOFTW.NS,69526.87,78733.67,334122.58999999997,23.564
Jun 2023,KEI.NS,81698.89,98451.44,380470.22,25.876
Jul 2023,KEI.NS,101659.4,124441.7,395687.6,31.449
Aug 2023,DLINKINDIA.NS,123121.4,151189.81,431667.2,35.025
Sep 2023,UGARSUGAR.NS,139909.28,129720.93,414173.27,31.32
Oct 2023,CHOLAFIN.NS,111094.78,107925.66,380304.25,28.379
Nov 2023,CHOLAFIN.NS,184956.93,177875.94,410999.44,43.279
Dec 2023,CHOLAFIN.NS,212639.74,231447.17,445100.75,51.999
Jan 2024,CHOLAFIN.NS,236294.12,240407.99,435965.33999999997,55.144
Feb 2024,CHOLAFIN.NS,236294.12,221131.08,429883.38999999996,51.44
Mar 2024,CHOLAFIN.NS,236294.12,234814.74,449494.73,52.24
Apr 2024,CHOLAFIN.NS,236294.12,242265.64,481743.9,50.289
May 2024,JSL.NS,138266.07,175791.21,590356.8099999999,29.777
Jun 2024,JSL.NS,187293.88,232412.37,638065.86,36.425
Jul 2024,PNCINFRA.NS,119077.09,119357.11,628648.89,18.986
Aug 2024,MANINFRA.NS,134398.94,135047.91,635649.0,21.246
Sep 2024,FIEMIND.NS,111412.65,140064.66,620293.45,22.58
Oct 2024,FIEMIND.NS,151443.71,159419.55,560488.14,28.443
Nov 2024,FIEMIND.NS,151443.71,157660.43,594108.94,26.537
Dec 2024,FIEMIND.NS,151443.71,152898.94,639857.35,23.896
Jan 2025,FIEMIND.NS,151443.71,144366.44,559581.53,25.799
Feb 2025,FIEMIND.NS,193282.89,182140.05,487599.07999999996,37.354
Mar 2025,FIEMIND.NS,200732.74,194380.99,533335.42,36.446
Apr 2025,FIEMIND.NS,200732.74,198171.26,509536.35000000003,38.892
May 2025,FIEMIND.NS,200732.74,220001.59,557315.45,39.475
Jun 2025,FIEMIND.NS,200732.74,266009.57,610806.99,43.551
Jul 2025,SARDAEN.NS,245176.34,245896.7,638966.26,38.484
Aug 2025,TI.NS,144437.76,171490.91,715979.41,23.952
Sep 2025,NAVA.NS,210322.11,212090.67,736834.13,28.784
